Event_Name,Event_Type,Department,Rating,Feedback_Comment
AI & Machine Learning Workshop,Workshop,CSE,5,"Very informative and hands-on session. Loved the examples."
AI & Machine Learning Workshop,Workshop,CSE,4,"Good content but could include more practical exercises."
Cyber Security Seminar,Seminar,ISE,3,"Session was okay but too theoretical."
Cyber Security Seminar,Seminar,ISE,2,"Speaker was not engaging and session felt long."
Annual Cultural Fest,Cultural,All,5,"Amazing performances and great energy throughout the event!"
Annual Cultural Fest,Cultural,All,4,"Enjoyed a lot but seating arrangement could be improved."
Career Guidance Talk,Seminar,ME,5,"Very useful session with clear career guidance."
Career Guidance Talk,Seminar,ME,4,"Good insights but time management could be better."
Data Science Bootcamp,Workshop,CSE,5,"Excellent workshop with real-world examples and interaction."
Data Science Bootcamp,Workshop,CSE,5,"One of the best events conducted this year!"
Entrepreneurship Talk,Tech Talk,ECE,3,"Content was average and examples were repetitive."
Entrepreneurship Talk,Tech Talk,ECE,2,"Expected more practical startup insights."
Robotics Expo,Exhibition,EEE,4,"Innovative projects and good demonstrations."
Robotics Expo,Exhibition,EEE,5,"Very inspiring and well-organized event."
Sports Meet,Sports,All,4,"Good organization but scheduling conflicts existed."
Sports Meet,Sports,All,3,"Enjoyable but facilities can be improved."
Tech Quiz Competition,Competition,CSE,5,"Fun, challenging and very engaging!"
Tech Quiz Competition,Competition,CSE,4,"Well conducted but could include more rounds."
Leadership Workshop,Workshop,Management,5,"Motivational and insightful session."
Leadership Workshop,Workshop,Management,4,"Great speaker but session ran a bit long."
